Timepoint,Patient_i,Patient_j,BrayCurtis
Week1,A,B,0.567653
Week1,A,C,0.326284
Week1,A,D,0.703777
Week1,A,E,0.5178
Week1,A,F,0.207181
Week1,A,G,0.606574
Week1,A,H,0.548967
Week1,A,K,0.547999
Week1,A,L,0.699984
Week1,B,C,0.392064
Week1,B,D,0.556625
Week1,B,E,0.382333
Week1,B,F,0.694848
Week1,B,G,0.441733
Week1,B,H,0.327017
Week1,B,K,0.497227
Week1,B,L,0.563821
Week1,C,D,0.598101
Week1,C,E,0.429055
Week1,C,F,0.494932
Week1,C,G,0.478726
Week1,C,H,0.29965
Week1,C,K,0.437225
Week1,C,L,0.589209
Week1,D,E,0.410007
Week1,D,F,0.782638
Week1,D,G,0.167678
Week1,D,H,0.377
Week1,D,K,0.199175
Week1,D,L,0.060592
Week1,E,F,0.618776
Week1,E,G,0.315724
Week1,E,H,0.272711
Week1,E,K,0.287637
Week1,E,L,0.400013
Week1,F,G,0.711148
Week1,F,H,0.676135
Week1,F,K,0.659754
Week1,F,L,0.772639
Week1,G,H,0.240012
Week1,G,K,0.144786
Week1,G,L,0.165883
Week1,H,K,0.283904
Week1,H,L,0.352307
Week1,K,L,0.169883
Week2,A,B,0.362656
Week2,A,C,0.346017
Week2,A,D,0.26015
Week2,A,E,0.1627
Week2,A,F,0.489605
Week2,A,G,0.177727
Week2,A,H,0.37829
Week2,A,K,0.347757
Week2,A,L,0.122805
Week2,B,C,0.198539
Week2,B,D,0.563632
Week2,B,E,0.413879
Week2,B,F,0.275643
Week2,B,G,0.245403
Week2,B,H,0.219169
Week2,B,K,0.626232
Week2,B,L,0.331632
Week2,C,D,0.5584
Week2,C,E,0.39475
Week2,C,F,0.2305
Week2,C,G,0.266696
Week2,C,H,0.381143
Week2,C,K,0.6211
Week2,C,L,0.2795
Week2,D,E,0.171343
Week2,D,F,0.6457
Week2,D,G,0.351139
Week2,D,H,0.58497
Week2,D,K,0.0986
Week2,D,L,0.2793
Week2,E,F,0.487053
Week2,E,G,0.201566
Week2,E,H,0.451508
Week2,E,K,0.234743
Week2,E,L,0.199532
Week2,F,G,0.367698
Week2,F,H,0.464676
Week2,F,K,0.708
Week2,F,L,0.4163
Week2,G,H,0.33991
Week2,G,K,0.413839
Week2,G,L,0.160258
Week2,H,K,0.652066
Week2,H,L,0.455649
Week2,K,L,0.3565
Week3,A,B,0.488951
Week3,A,C,0.522067
Week3,A,D,0.640436
Week3,A,E,0.634395
Week3,A,F,0.640346
Week3,A,G,0.690531
Week3,A,H,0.480352
Week3,A,K,0.63782
Week3,A,L,0.721126
Week3,B,C,0.250155
Week3,B,D,0.28898
Week3,B,E,0.328699
Week3,B,F,0.152994
Week3,B,G,0.323201
Week3,B,H,0.193864
Week3,B,K,0.19398
Week3,B,L,0.491875
Week3,C,D,0.267829
Week3,C,E,0.329045
Week3,C,F,0.344731
Week3,C,G,0.397912
Week3,C,H,0.296539
Week3,C,K,0.326697
Week3,C,L,0.485979
Week3,D,E,0.178812
Week3,D,F,0.298317
Week3,D,G,0.186481
Week3,D,H,0.253275
Week3,D,K,0.203954
Week3,D,L,0.311858
Week3,E,F,0.280415
Week3,E,G,0.148852
Week3,E,H,0.292693
Week3,E,K,0.244198
Week3,E,L,0.218594
Week3,F,G,0.341212
Week3,F,H,0.274919
Week3,F,K,0.125451
Week3,F,L,0.456491
Week3,G,H,0.234277
Week3,G,K,0.247365
Week3,G,L,0.210874
Week3,H,K,0.218667
Week3,H,L,0.440151
Week3,K,L,0.368947
