patient,week,model,rmse,bc
A,2,AGORA W=1.0,0.09174931394945035,0.3024771315957191
A,3,AGORA W=1.0,0.06348689008335393,0.19004175491935094
B,2,AGORA W=1.0,0.07484884771199216,0.21578943096948888
B,3,AGORA W=1.0,0.018069790425121766,0.0628322907833464
C,2,AGORA W=1.0,0.0523028655353869,0.17882957428462676
C,3,AGORA W=1.0,0.04172929684874577,0.12021759909218255
D,2,AGORA W=1.0,0.03546551118029148,0.11302656449943915
D,3,AGORA W=1.0,0.03167035107006597,0.12032640102356007
E,2,AGORA W=1.0,0.038728013407648774,0.12852905246097368
E,3,AGORA W=1.0,0.01906517165878263,0.06150136071757906
F,2,AGORA W=1.0,0.008276643335592459,0.02882405460733728
F,3,AGORA W=1.0,0.007277747990818124,0.02482743372902607
G,2,AGORA W=1.0,0.06678762500649701,0.20015093977956888
G,3,AGORA W=1.0,0.03810136371146113,0.12345996474314902
H,2,AGORA W=1.0,0.06516886173406235,0.1985410223991544
H,3,AGORA W=1.0,0.0437224809237185,0.1382186712529112
K,2,AGORA W=1.0,0.08295082309658461,0.23332272472791715
K,3,AGORA W=1.0,0.02603534010251683,0.09438529247468985
L,2,AGORA W=1.0,0.08784343968350326,0.20720922430544064
L,3,AGORA W=1.0,0.06844144609918718,0.19282041615573242
