patient,week,model,rmse,bc
A,2,AGORA W=1.0,0.07882858434703129,0.2795676885226217
A,3,AGORA W=1.0,0.08460589562036946,0.22734514844176124
A,2,L1+L2,0.094006499718077,0.31933239565214033
A,3,L1+L2,0.1003841914543459,0.27718496183427255
B,2,AGORA W=1.0,0.07394822428155469,0.21307850190192912
B,3,AGORA W=1.0,0.020273962803587165,0.0710626035574482
B,2,L1+L2,0.07410019847254992,0.29876610945959203
B,3,L1+L2,0.06522394123313491,0.21574581088076838
C,2,AGORA W=1.0,0.0527498368864499,0.1898656005573094
C,3,AGORA W=1.0,0.042526387939283275,0.126510138813282
C,2,L1+L2,0.059072944181465,0.21896345475614065
C,3,L1+L2,0.03825830257259081,0.14244479351263817
D,2,AGORA W=1.0,0.045451210842135804,0.1444311338273141
D,3,AGORA W=1.0,0.029501679981565918,0.1134149561493325
D,2,L1+L2,0.050342617188924466,0.1712481814628748
D,3,L1+L2,0.0377332591384999,0.14762355843213315
E,2,AGORA W=1.0,0.03894819511499636,0.12949098638782108
E,3,AGORA W=1.0,0.019151053733385024,0.06474092010037336
E,2,L1+L2,0.04454970650331316,0.12885568122566327
E,3,L1+L2,0.03886445745531885,0.10978668373774225
F,2,AGORA W=1.0,0.009602916345676806,0.036203042982648204
F,3,AGORA W=1.0,0.008925805114589354,0.03633247963582087
F,2,L1+L2,0.023799748264146665,0.07644381730367356
F,3,L1+L2,0.03451422821195872,0.12085078070286359
G,2,AGORA W=1.0,0.06470133074576959,0.19040411281437797
G,3,AGORA W=1.0,0.04195132602115035,0.13580527434465983
G,2,L1+L2,0.07142796256337257,0.24481469556455937
G,3,L1+L2,0.051549953358667855,0.18123591388146232
H,2,AGORA W=1.0,0.06423053975559251,0.1980692010475521
H,3,AGORA W=1.0,0.04526675091495818,0.13906711066402588
H,2,L1+L2,0.07761145015915101,0.2749710584144983
H,3,L1+L2,0.03246330813525566,0.1333175438462283
K,2,AGORA W=1.0,0.09205473582500584,0.22934797396588402
K,3,AGORA W=1.0,0.04633768092247154,0.14730681847791993
K,2,L1+L2,0.09626844274745594,0.24888730261001457
K,3,L1+L2,0.03213168820586679,0.1194190047015452
L,2,AGORA W=1.0,0.09149330669385894,0.2528282586890396
L,3,AGORA W=1.0,0.06328297714229768,0.16639334452971666
L,2,L1+L2,0.09767000902313705,0.24740443928523081
L,3,L1+L2,0.045003768276247615,0.13950038039090118
