patient,t_day,genus,phi_median,phi_q05,phi_q95
D,0.0,Streptococcus,0.7894736842105263,0.7894736842105263,0.7894736842105263
D,0.0,Actinomyces,0.0,0.0,0.0
D,0.0,Veillonella,0.21052631578947367,0.21052631578947367,0.21052631578947367
D,0.0,Fusobacterium,0.0,0.0,0.0
D,0.0,Porphyromonas,0.0,0.0,0.0
D,0.002799253532391362,Streptococcus,0.7915258413605627,0.7912297328261162,0.791926242727968
D,0.002799253532391362,Actinomyces,5.616877284920396e-10,5.616100196824455e-10,5.618545486987803e-10
D,0.002799253532391362,Veillonella,0.20847415695425722,0.20807375558664543,0.20877026548886204
D,0.002799253532391362,Fusobacterium,5.619185582413565e-10,5.618448353202878e-10,5.619846676780202e-10
D,0.002799253532391362,Porphyromonas,5.614846722961288e-10,5.614251318078503e-10,5.615844084290024e-10
D,0.005598507064782724,Streptococcus,0.9265867075762582,0.9177300572165172,0.9371996818539136
D,0.005598507064782724,Actinomyces,2.471852517061371e-13,1.2888848194720388e-13,9.592655727976157e-13
D,0.005598507064782724,Veillonella,0.07341329229772946,0.06280031807336939,0.08226994268997395
D,0.005598507064782724,Fusobacterium,3.9948525235206814e-11,7.88331328501228e-12,1.0375106206207773e-10
D,0.005598507064782724,Porphyromonas,8.182076891273104e-11,7.773613319664985e-11,8.35492739438064e-11
D,0.008397760597174087,Streptococcus,0.9803805667041317,0.9745348877514688,0.9862579109873362
D,0.008397760597174087,Actinomyces,8.734999820640023e-12,4.586732491114407e-12,3.3934355443739016e-11
D,0.008397760597174087,Veillonella,0.0196194321325351,0.013742088321594063,0.025465111305417797
D,0.008397760597174087,Fusobacterium,6.332469927968562e-10,2.7888493097174186e-10,6.656114488621156e-10
D,0.008397760597174087,Porphyromonas,5.194171756005499e-10,5.076245804100551e-10,5.365409069214698e-10
D,0.011197014129565449,Streptococcus,0.9931931914761178,0.991529300953043,0.9944299829024141
D,0.011197014129565449,Actinomyces,2.9505287548555793e-10,1.5592743478450585e-10,1.1464536910714119e-09
D,0.011197014129565449,Veillonella,0.006806801252586845,0.005570010118445981,0.00847069121766563
D,0.011197014129565449,Fusobacterium,3.866276053728959e-09,3.6336768738710553e-09,4.0497549432661165e-09
D,0.011197014129565449,Porphyromonas,3.1293594381685006e-09,3.059641199605804e-09,3.242376224421766e-09
D,0.01399626766195681,Streptococcus,0.9946759728635193,0.9941758412434366,0.9952443879999423
D,0.01399626766195681,Actinomyces,9.758071230609716e-09,5.245300028391837e-09,1.9337399722989887e-08
D,0.01399626766195681,Veillonella,0.005323973347244311,0.0047555608674438084,0.005824099915181039
D,0.01399626766195681,Fusobacterium,2.311410402773999e-08,2.1976187176442513e-08,2.413066808630154e-08
