patient,t_day,genus,phi_median,phi_q05,phi_q95
F,0.0,Streptococcus,0.5076708507670851,0.5076708507670851,0.5076708507670851
F,0.0,Actinomyces,0.1631799163179917,0.1631799163179917,0.1631799163179917
F,0.0,Veillonella,0.31659693165969316,0.31659693165969316,0.31659693165969316
F,0.0,Fusobacterium,0.012552301255230129,0.012552301255230129,0.012552301255230129
F,0.0,Porphyromonas,0.0,0.0,0.0
F,0.002799253532391362,Streptococcus,0.5094849696009588,0.509309204140143,0.509656477250654
F,0.002799253532391362,Actinomyces,0.16220575868292283,0.16197825087756437,0.1624571716034209
F,0.002799253532391362,Veillonella,0.3146534834965827,0.31440266856648474,0.3147986704697526
F,0.002799253532391362,Fusobacterium,0.013704594695318331,0.013390908324606402,0.013882503271407994
F,0.002799253532391362,Porphyromonas,5.617798067010314e-10,5.617623928454433e-10,5.618078286518228e-10
F,0.005598507064782724,Streptococcus,0.5883674506406344,0.5858457394276917,0.6179461548415183
F,0.005598507064782724,Actinomyces,0.19540974164435534,0.15682000299177276,0.19668314683616608
F,0.005598507064782724,Veillonella,0.21737413541329698,0.21475018298152582,0.23038609065275267
F,0.005598507064782724,Fusobacterium,2.88774624847729e-12,1.4257369297056655e-12,7.071573356023726e-06
F,0.005598507064782724,Porphyromonas,1.012147280489427e-10,9.599404594009297e-11,1.0644262254465681e-10
F,0.008397760597174087,Streptococcus,0.6568905221987208,0.6421560259947382,0.7216450067859952
F,0.008397760597174087,Actinomyces,0.21375597074918556,0.1395878043648218,0.2292458230616314
F,0.008397760597174087,Veillonella,0.1296052310259671,0.12502498092431663,0.14840927318218997
F,0.008397760597174087,Fusobacterium,6.305135879170183e-11,5.6413775443812484e-11,0.00022712879763724957
F,0.008397760597174087,Porphyromonas,8.377052771937344e-10,8.067771429881735e-10,9.165002274989168e-10
F,0.011197014129565449,Streptococcus,0.706052603761675,0.6742523623325822,0.8048136542933634
F,0.011197014129565449,Actinomyces,0.2231649617893929,0.1160865286608121,0.256373865116933
F,0.011197014129565449,Veillonella,0.07106856209261087,0.06591496675053106,0.08892230581613325
F,0.011197014129565449,Fusobacterium,5.302566787395454e-10,4.4731140212890183e-10,0.0006902824403733851
F,0.011197014129565449,Porphyromonas,6.627603270861856e-09,6.17777642098091e-09,7.521906177903492e-09
F,0.01399626766195681,Streptococcus,0.7358319335087508,0.6853278061049124,0.8621096480608516
F,0.01399626766195681,Actinomyces,0.22374025398252217,0.09068831443018117,0.27672638633031543
F,0.01399626766195681,Veillonella,0.04035500399839656,0.03673160245336687,0.05364136141913331
F,0.01399626766195681,Fusobacterium,4.178770867405366e-09,3.3160793138736897e-09,0.0012096931033661335
F,0.01399626766195681,Porphyromonas,5.082058883372094e-08,4.5760461582873486e-08,5.934277552655849e-08
F,0.016795521194348174,Streptococcus,0.7475593486565718,0.6786694810729788,0.8897639065054836
F,0.016795521194348174,Actinomyces,0.21643005959686965,0.06796934858574578,0.2898778666340825
F,0.016795521194348174,Veillonella,0.03545280661465143,0.03145229792765138,0.045421279617039866
F,0.016795521194348174,Fusobacterium,3.1704019497693035e-08,2.3944311516710687e-08,0.0018052159473666454
F,0.016795521194348174,Porphyromonas,3.799004618584327e-07,3.304209757636419e-07,4.4969815871790267e-07
F,0.019594774726739535,Streptococcus,0.7505255788285783,0.6639366903590528,0.896520306354487
F,0.019594774726739535,Actinomyces,0.20598248017022752,0.052863139071758714,0.2999353720742397
F,0.019594774726739535,Veillonella,0.04237760923442298,0.03612541235724231,0.05299179025096749
F,0.019594774726739535,Fusobacterium,2.3184039594351362e-07,1.7062720210119937e-07,0.0026509716599581483
F,0.019594774726739535,Porphyromonas,2.805473044151403e-06,2.354582263040516e-06,3.311188043096016e-06
F,0.022394028259130897,Streptococcus,0.7497396333735118,0.646697339196081,0.8864044510722761
F,0.022394028259130897,Actinomyces,0.19441586008687062,0.04978379736434906,0.3087268524111722
F,0.022394028259130897,Veillonella,0.05418459845664053,0.04455789997193418,0.06515882347018837
F,0.022394028259130897,Fusobacterium,1.6690080195811777e-06,1.2100521277335466e-06,0.003733539418866298
F,0.022394028259130897,Porphyromonas,2.056032197810098e-05,1.6698368684797398e-05,2.397481901789539e-05
F,0.02519328179152226,Streptococcus,0.7452566840855994,0.628030646778247,0.8640266155828205
F,0.02519328179152226,Actinomyces,0.18250723437140193,0.055858857439682844,0.31633170769288743
F,0.02519328179152226,Veillonella,0.0697597663924338,0.055511044893035794,0.08147858642050826
F,0.02519328179152226,Fusobacterium,1.1863058877139293e-05,8.55373936626335e-06,0.005074535779442783
F,0.02519328179152226,Porphyromonas,0.0001497873317765875,0.00011804689646346837,0.0001704242989110627
F,0.02799253532391362,Streptococcus,0.7353913066172506,0.6081631605979562,0.8333060122978551
F,0.02799253532391362,Actinomyces,0.17104654954869702,0.06643623823028179,0.3218687467903742
F,0.02799253532391362,Veillonella,0.08917588527236298,0.06907618339597255,0.10128541909994619
F,0.02799253532391362,Fusobacterium,8.32774229687757e-05,6.030158764943069e-05,0.006622170423300539
F,0.02799253532391362,Porphyromonas,0.0010808400029672194,0.0008316076280477012,0.0011966494423298417
F,0.030791788856304982,Streptococcus,0.7165480657067644,0.5873560114712931,0.7950756171037714
F,0.030791788856304982,Actinomyces,0.16160966745333194,0.07882957466593381,0.3229238467332029
F,0.030791788856304982,Veillonella,0.1118015823511623,0.08540246718147292,0.12391042245610598
F,0.030791788856304982,Fusobacterium,0.0005778311629512896,0.00042445647074188116,0.008200633923182871
F,0.030791788856304982,Porphyromonas,0.00515280502584578,0.00389321814328917,0.005564823471975953
F,0.03359104238869635,Streptococcus,0.6848854216662346,0.5663003796978268,0.7518173125580286
F,0.03359104238869635,Actinomyces,0.16011090186236301,0.09344171205408042,0.319592682385869
F,0.03359104238869635,Veillonella,0.13774718487294943,0.10511342848084669,0.14958756683675664
F,0.03359104238869635,Fusobacterium,0.0038453075673473653,0.002891683784120831,0.01058180350215973
F,0.03359104238869635,Porphyromonas,0.008072754058606713,0.006101825651336758,0.008854953279897682
F,0.03639029592108771,Streptococcus,0.6426156972675485,0.5460327103597673,0.7051345904566336
F,0.03639029592108771,Actinomyces,0.1674824622841806,0.10927599541524619,0.31105800106334175
F,0.03639029592108771,Veillonella,0.1645026994805801,0.12802858477576423,0.17632426332924292
F,0.03639029592108771,Fusobacterium,0.008369545221522109,0.006496293710073113,0.013287387309656378
F,0.03639029592108771,Porphyromonas,0.010974826986963056,0.008384410091053717,0.012090969159698072
F,0.03918954945347907,Streptococcus,0.6050202445770024,0.5293022240431527,0.6597653562232281
F,0.03918954945347907,Actinomyces,0.17926292202961602,0.1245353280099441,0.29740651809467994
F,0.03918954945347907,Veillonella,0.18799950979573588,0.1527067806013877,0.20051822702012964
F,0.03918954945347907,Fusobacterium,0.011781443859827179,0.009545157053340868,0.01585355883702576
F,0.03918954945347907,Porphyromonas,0.013895668817424479,0.011039320207438964,0.015046032595032245
