patient,t_day,genus,phi_median,phi_q05,phi_q95
H,0.0,Streptococcus,0.8788172564226854,0.8788172564226854,0.8788172564226854
H,0.0,Actinomyces,0.060106640814348036,0.060106640814348036,0.060106640814348036
H,0.0,Veillonella,0.021328162869607366,0.021328162869607366,0.021328162869607366
H,0.0,Fusobacterium,0.015996122152205527,0.015996122152205527,0.015996122152205527
H,0.0,Porphyromonas,0.02375181774115366,0.02375181774115366,0.02375181774115366
H,0.002799253532391362,Streptococcus,0.8827165523902574,0.8822404756596325,0.8835491691296217
H,0.002799253532391362,Actinomyces,0.06135809303200904,0.0610256845255924,0.06158332677576188
H,0.002799253532391362,Veillonella,0.021382817115442793,0.021128562861022812,0.021648941055802784
H,0.002799253532391362,Fusobacterium,0.015334092723594758,0.014711390996024183,0.015579704857195405
H,0.002799253532391362,Porphyromonas,0.01927197927469227,0.01885104357805237,0.020064906989716955
H,0.005598507064782724,Streptococcus,0.9981517486059507,0.9979989983937869,0.99828630919549
H,0.005598507064782724,Actinomyces,0.0013229605489037174,0.0012223605695363027,0.0014894415941976652
H,0.005598507064782724,Veillonella,0.00023069753330697533,8.989457347028144e-05,0.0003254724322018337
H,0.005598507064782724,Fusobacterium,0.000262382551567954,9.536640290281027e-05,0.0002793083324774948
H,0.005598507064782724,Porphyromonas,5.949754693023597e-05,3.828642655993092e-05,9.186228025398031e-05
H,0.008397760597174087,Streptococcus,0.9985943668698256,0.9984163439224369,0.9987009870074639
H,0.008397760597174087,Actinomyces,0.0006170233569531315,0.0005217676077782163,0.0007620875179415367
H,0.008397760597174087,Veillonella,0.00027549297451300524,0.0002668842163391598,0.00029517486251794996
H,0.008397760597174087,Fusobacterium,0.0002624021835055538,0.00025747804502605364,0.00026867251721145185
H,0.008397760597174087,Porphyromonas,0.0002696812357455526,0.00018564369294670364,0.00031030460364825943
H,0.011197014129565449,Streptococcus,0.9988409214276195,0.998704793446692,0.9989088116387878
H,0.011197014129565449,Actinomyces,0.0003148636536306612,0.00026119961947209313,0.0004167932093838304
H,0.011197014129565449,Veillonella,0.00026991979556222144,0.00026037171419092387,0.0002877855114630179
H,0.011197014129565449,Fusobacterium,0.00026171467846200145,0.0002543919305999004,0.0002675733262501466
H,0.011197014129565449,Porphyromonas,0.0003127255616142467,0.00030568797327314504,0.0003273830523766391
H,0.01399626766195681,Streptococcus,0.9989350110411583,0.9988970451967637,0.998952066698952
H,0.01399626766195681,Actinomyces,0.00024756560409125986,0.00024077191288375543,0.0002712392867556002
H,0.01399626766195681,Veillonella,0.00025988944872498324,0.00025627953668087936,0.0002711068956601645
H,0.01399626766195681,Fusobacterium,0.0002521497912427897,0.0002485627953616409,0.0002597832703967972
H,0.01399626766195681,Porphyromonas,0.000303211906851618,0.00029980131699317914,0.00031001673663482083
H,0.016795521194348174,Streptococcus,0.9988873106684529,0.9988472839117123,0.9989159862407027
H,0.016795521194348174,Actinomyces,0.0002553692455412734,0.0002522983673971387,0.00026106725608463107
H,0.016795521194348174,Veillonella,0.00027395994127414754,0.0002704143258218494,0.00028036779100435783
H,0.016795521194348174,Fusobacterium,0.00026570240819844676,0.000251028593858208,0.00028231467091506735
H,0.016795521194348174,Porphyromonas,0.00031959358509599305,0.0003078040301422524,0.0003311994446457912
H,0.019594774726739535,Streptococcus,0.998776104474006,0.9987024557937448,0.9988425537378702
H,0.019594774726739535,Actinomyces,0.00028041109639379393,0.00026975680428579585,0.0002926903999197964
H,0.019594774726739535,Veillonella,0.00030125396840609265,0.00029141637239167735,0.0003141674882548646
H,0.019594774726739535,Fusobacterium,0.0002931934468825697,0.00026846916823235493,0.0003178116834246861
H,0.019594774726739535,Porphyromonas,0.00035203467277446004,0.00032918829275001234,0.0003728746346558453
H,0.022394028259130897,Streptococcus,0.9986489128565648,0.9985439908653911,0.9987496697027081
H,0.022394028259130897,Actinomyces,0.0003087727532258691,0.00028993724270607316,0.00032840718546953444
H,0.022394028259130897,Veillonella,0.0003311405263667583,0.00031399465909371743,0.0003525202872225288
H,0.022394028259130897,Fusobacterium,0.00032265379683042234,0.0002883829077734889,0.00035662404885597384
H,0.022394028259130897,Porphyromonas,0.00038866385144371553,0.0003542088055550788,0.0004184576130608389
H,0.02519328179152226,Streptococcus,0.9985103327235395,0.9983694579855836,0.9986493174963084
H,0.02519328179152226,Actinomyces,0.00034031719319722994,0.0003119666515163267,0.00036774516201330836
H,0.02519328179152226,Veillonella,0.0003640822516751453,0.0003371164392318947,0.00039475425031177617
H,0.02519328179152226,Fusobacterium,0.0003557497197555295,0.00031090932396877114,0.0003993693785416508
H,0.02519328179152226,Porphyromonas,0.00042856951770426705,0.00038145982126946206,0.00046867322354970074
H,0.02799253532391362,Streptococcus,0.9983585516972172,0.9981757326836028,0.9985532808744472
H,0.02799253532391362,Actinomyces,0.0003749362235740719,0.0003357640242257302,0.00041140400643467146
H,0.02799253532391362,Veillonella,0.0004011575767096575,0.0003610656574842166,0.00044162786134102264
H,0.02799253532391362,Fusobacterium,0.00039199771318468724,0.0003346497448138639,0.0004468146729857314
H,0.02799253532391362,Porphyromonas,0.0004722814483957725,0.0004137616619090723,0.0005244207756358327
H,0.030791788856304982,Streptococcus,0.9981919547190184,0.9979601780736543,0.9984469264614368
H,0.030791788856304982,Actinomyces,0.00041292816840106264,0.0003613963481162132,0.0004599773507000062
H,0.030791788856304982,Veillonella,0.00044184930299226373,0.00038860133932044964,0.0004937791864929254
H,0.030791788856304982,Fusobacterium,0.0004317841378856962,0.00036021910349143233,0.0004996058159057764
H,0.030791788856304982,Porphyromonas,0.0005202656249423386,0.0004488986251286864,0.0005864595732468496
H,0.03359104238869635,Streptococcus,0.9980090126930116,0.9977202628619688,0.9983283215918807
H,0.03359104238869635,Actinomyces,0.000454642743562613,0.0003889800111711302,0.0005140346974741352
H,0.03359104238869635,Veillonella,0.0004865307131059757,0.00041826368297355015,0.0005518200041408612
H,0.03359104238869635,Fusobacterium,0.0004754742573611162,0.0003877358418003295,0.0005583627028442634
H,0.03359104238869635,Porphyromonas,0.0005729632312850414,0.00048484488566377475,0.000655519733571902
H,0.03639029592108771,Streptococcus,0.9978081659004658,0.997453366066569,0.9982007451739511
H,0.03639029592108771,Actinomyces,0.0005004356733668911,0.0004186492044734771,0.0005741652732934996
H,0.03639029592108771,Veillonella,0.0005355822647812802,0.00045016877275545845,0.0006163834026456277
H,0.03639029592108771,Fusobacterium,0.0005234406414401735,0.0004173344546848132,0.0006237272087916637
H,0.03639029592108771,Porphyromonas,0.0006308246544072017,0.0005211471472220274,0.0007323580487002326
H,0.03918954945347907,Streptococcus,0.9975877706559737,0.9971566929204883,0.9980635685226018
H,0.03918954945347907,Actinomyces,0.0005506813597766749,0.00045054985225913605,0.0006409970293808389
H,0.03918954945347907,Veillonella,0.0005894047451914062,0.0004844736321819357,0.0006881442142981254
H,0.03918954945347907,Fusobacterium,0.0005760759562976948,0.0004491609436721901,0.000696383797363601
