patient,t_day,genus,phi_median,phi_q05,phi_q95
K,0.0,Streptococcus,0.8599464763603927,0.8599464763603927,0.8599464763603927
K,0.0,Actinomyces,0.03823117114820951,0.03823117114820951,0.03823117114820951
K,0.0,Veillonella,0.054925449216260996,0.054925449216260996,0.054925449216260996
K,0.0,Fusobacterium,0.046896903275137,0.046896903275137,0.046896903275137
K,0.0,Porphyromonas,0.0,0.0,0.0
K,0.002799253532391362,Streptococcus,0.8635891194806701,0.8630309341636714,0.8643818781869103
K,0.002799253532391362,Actinomyces,0.03940241642734972,0.03910480266150069,0.03960710896840551
K,0.002799253532391362,Veillonella,0.053971434918491476,0.05363035586282208,0.054264756784567665
K,0.002799253532391362,Fusobacterium,0.04317625909559261,0.04253603181918242,0.043480179085388156
K,0.002799253532391362,Porphyromonas,5.617436889600597e-10,5.617135164225694e-10,5.61955371271526e-10
K,0.005598507064782724,Streptococcus,0.9971593541108329,0.9969325660213421,0.9975487222838307
K,0.005598507064782724,Actinomyces,0.0005833954525133754,0.0004969190504889443,0.000614649055130549
K,0.005598507064782724,Veillonella,0.001620990320365469,0.001344210793335416,0.0017620961346864576
K,0.005598507064782724,Fusobacterium,0.0006516358993972124,0.0006101478712365435,0.0006876432021106512
K,0.005598507064782724,Porphyromonas,8.085226774359671e-11,1.2660203700395639e-11,8.354538839798968e-11
K,0.008397760597174087,Streptococcus,0.9986224499488969,0.998498287591068,0.9988396026801537
K,0.008397760597174087,Actinomyces,0.00034710446516266337,0.0003029318979356525,0.00036823692440628473
K,0.008397760597174087,Veillonella,0.0006668585188774757,0.0005281664528768672,0.0007452085333546012
K,0.008397760597174087,Fusobacterium,0.00036537949217707057,0.00032929893192282694,0.00039024812500118556
K,0.008397760597174087,Porphyromonas,5.140239544987662e-10,4.1254355307248845e-10,5.178446997246788e-10
K,0.011197014129565449,Streptococcus,0.9990559347583443,0.9989994182391883,0.9991440503036845
K,0.011197014129565449,Actinomyces,0.00028030912716658495,0.00025763473892513014,0.0002937884564541599
K,0.011197014129565449,Veillonella,0.00038395058369393475,0.0003351045189381111,0.0004171831641234426
K,0.011197014129565449,Fusobacterium,0.00028073648681484415,0.00026532956876626046,0.0002929545649585969
K,0.011197014129565449,Porphyromonas,3.163355899763267e-09,2.983049071363819e-09,3.2458466190604367e-09
K,0.01399626766195681,Streptococcus,0.9991024248324174,0.9990940709202935,0.9991088099777474
K,0.01399626766195681,Actinomyces,0.0002736140954388231,0.0002706520195804518,0.00027955296395943264
K,0.01399626766195681,Veillonella,0.00035193216495928273,0.0003397554693846702,0.0003561354392610158
K,0.01399626766195681,Fusobacterium,0.0002727929840686934,0.0002693491759500736,0.0002754956439496915
K,0.01399626766195681,Porphyromonas,1.9401142147748508e-08,1.8944328229098804e-08,1.999365997555725e-08
K,0.016795521194348174,Streptococcus,0.9990024799851854,0.9989889623950161,0.9990160424992646
K,0.016795521194348174,Actinomyces,0.0003059610942632478,0.00029989127820931246,0.00031316519785296477
K,0.016795521194348174,Veillonella,0.00038951631907310595,0.0003784034329957324,0.0003964938669983005
K,0.016795521194348174,Fusobacterium,0.0003025442974319048,0.0002977314270460337,0.00031454202710652195
K,0.016795521194348174,Porphyromonas,1.1961480254376312e-07,1.1678571571825152e-07,1.3290508579286816e-07
K,0.019594774726739535,Streptococcus,0.9988392226341262,0.9988016183718584,0.9988696704131836
K,0.019594774726739535,Actinomyces,0.00035633497988927506,0.0003458382253654864,0.00036393798542582167
K,0.019594774726739535,Veillonella,0.00045220544646301175,0.0004359134813398653,0.00046381849950225505
K,0.019594774726739535,Fusobacterium,0.00035173440767088346,0.00034330395712247886,0.00037285061646897687
K,0.019594774726739535,Porphyromonas,7.355497981894568e-07,7.138058652956256e-07,8.26743915543427e-07
K,0.022394028259130897,Streptococcus,0.9986535774442516,0.998584452774714,0.9987018915546377
K,0.022394028259130897,Actinomyces,0.0004126954172612602,0.00039756537270434054,0.0004286185864867541
K,0.022394028259130897,Veillonella,0.0005224749189284685,0.0005008810477750591,0.0005426429889573707
K,0.022394028259130897,Fusobacterium,0.00040703613257741123,0.00039435761452818677,0.00043914048364196537
K,0.022394028259130897,Porphyromonas,4.5247877438972395e-06,4.3642345853522565e-06,5.1451661998662405e-06
K,0.02519328179152226,Streptococcus,0.9984285783148961,0.9983171912566816,0.9984990712375814
K,0.02519328179152226,Actinomyces,0.00047527271786388693,0.00045461550508942895,0.0005016559052747368
K,0.02519328179152226,Veillonella,0.0006003401687086586,0.0005726097740614446,0.0006350993555983179
K,0.02519328179152226,Fusobacterium,0.0004683984794742684,0.00045064657504129986,0.0005140186561533995
K,0.02519328179152226,Porphyromonas,2.784516260408374e-05,2.669139682777601e-05,3.203482629191483e-05
K,0.02799253532391362,Streptococcus,0.9980886925153662,0.9979081239839994,0.9981903074015619
K,0.02799253532391362,Actinomyces,0.0005366677396511377,0.0005085277893026569,0.000575364418354777
K,0.02799253532391362,Veillonella,0.0006774438571086375,0.0006416810669875702,0.0007284074966328165
K,0.02799253532391362,Fusobacterium,0.0005278987416852464,0.0005040057276767854,0.0005896692418959212
K,0.02799253532391362,Porphyromonas,0.0001704627787017039,0.00016234582685462878,0.0001984348591170438
K,0.030791788856304982,Streptococcus,0.9975332110464641,0.9972286836656269,0.9976837489148283
K,0.030791788856304982,Actinomyces,0.0005911213937549471,0.0005546766564915141,0.0006425495419548312
K,0.030791788856304982,Veillonella,0.0007458579509647496,0.0007019047200985413,0.000813460844778077
K,0.030791788856304982,Fusobacterium,0.0005803261190000645,0.0005503120431335114,0.000658765469879387
K,0.030791788856304982,Porphyromonas,0.0005524785019363682,0.0005198172123140493,0.0006565404777609447
K,0.03359104238869635,Streptococcus,0.9970539176051266,0.9966329640797247,0.9972576600101677
K,0.03359104238869635,Actinomyces,0.000694509705407855,0.000645323635569943,0.000765771319706981
K,0.03359104238869635,Veillonella,0.0008759374220707768,0.0008185664021409103,0.0009694273333436199
K,0.03359104238869635,Fusobacterium,0.0006810782840217038,0.0006404857331972597,0.000785122042103937
