patient,t_day,genus,phi_median,phi_q05,phi_q95
L,0.0,Streptococcus,0.8375,0.8375,0.8375
L,0.0,Actinomyces,0.05,0.05,0.05
L,0.0,Veillonella,0.0125,0.0125,0.0125
L,0.0,Fusobacterium,0.1,0.1,0.1
L,0.0,Porphyromonas,0.0,0.0,0.0
L,0.002799253532391362,Streptococcus,0.8398833229233438,0.8393839697019362,0.8406002423239978
L,0.002799253532391362,Actinomyces,0.05067292350318298,0.05035899940267128,0.050894222499548364
L,0.002799253532391362,Veillonella,0.01414639267803779,0.013939168320736332,0.014313295214156516
L,0.002799253532391362,Fusobacterium,0.09543438702744136,0.09483552501299004,0.09570788028440382
L,0.002799253532391362,Porphyromonas,5.615634826820781e-10,5.615098405485118e-10,5.615993687641931e-10
L,0.005598507064782724,Streptococcus,0.9916501803591553,0.9912870404760956,0.9926308639166824
L,0.005598507064782724,Actinomyces,0.0020727643512251513,0.0019061145757421787,0.002315710269158881
L,0.005598507064782724,Veillonella,0.00020744124461846995,7.997059377373212e-05,0.0003623671024481065
L,0.005598507064782724,Fusobacterium,0.005989869586827339,0.005032492879594785,0.0064517112950862356
L,0.005598507064782724,Porphyromonas,5.45430240777037e-13,1.850078614166462e-13,1.6066197129817607e-11
L,0.008397760597174087,Streptococcus,0.9967200330415987,0.9965311739703876,0.9970583378503477
L,0.008397760597174087,Actinomyces,0.0010145295959940136,0.0008564509984796407,0.0011186418925747475
L,0.008397760597174087,Veillonella,0.00039918669051318883,0.00037751498305282455,0.00041117505108822345
L,0.008397760597174087,Fusobacterium,0.00185509053857168,0.001701411756313268,0.001948239973447566
L,0.008397760597174087,Porphyromonas,1.7811085771854806e-11,6.07055579486377e-12,4.024621407127165e-10
L,0.011197014129565449,Streptococcus,0.9970789909488497,0.9968741150880678,0.9975283602448111
L,0.011197014129565449,Actinomyces,0.0007594729693346057,0.0005844265520850394,0.0008655634437070616
L,0.011197014129565449,Veillonella,0.0004201139589594035,0.0004035436372867263,0.0004309877595339868
L,0.011197014129565449,Fusobacterium,0.0017341997929633426,0.0014835407393663117,0.0018360548118169229
L,0.011197014129565449,Porphyromonas,5.783940270798552e-10,1.980160808499696e-10,2.9847575884309022e-09
L,0.01399626766195681,Streptococcus,0.9975171267140839,0.9972840298899512,0.9979892247997466
L,0.01399626766195681,Actinomyces,0.000563716980000444,0.0004803003134261387,0.0006548328762038456
L,0.01399626766195681,Veillonella,0.00042337165564723016,0.00041098423424344347,0.00043473073659576483
L,0.01399626766195681,Fusobacterium,0.00149195024160844,0.0011176672951128629,0.0016342800047349408
L,0.01399626766195681,Porphyromonas,1.5362109618913873e-08,6.443307329580152e-09,1.764717103821098e-08
L,0.016795521194348174,Streptococcus,0.9978880035983934,0.9976494920172534,0.9983618692511712
L,0.016795521194348174,Actinomyces,0.0004795353041873308,0.00045804885189732814,0.0005200161146668884
L,0.016795521194348174,Veillonella,0.00043054230534964966,0.00042143084512909993,0.0004354237819030299
L,0.016795521194348174,Fusobacterium,0.001209615536900651,0.0007359599841767243,0.0013986730990961365
L,0.016795521194348174,Porphyromonas,9.799307337228712e-08,9.48385180373534e-08,1.0422759228755945e-07
L,0.019594774726739535,Streptococcus,0.9981319159645279,0.9978850583833501,0.998567392741184
L,0.019594774726739535,Actinomyces,0.00048420097160824986,0.00046688962166633084,0.000497113800148749
L,0.019594774726739535,Veillonella,0.00045243903944761034,0.0004429109440856367,0.0004563841154451149
L,0.019594774726739535,Fusobacterium,0.0009479877277775717,0.00048406417628101374,0.0011780227725054946
L,0.019594774726739535,Porphyromonas,5.698802126521915e-07,5.463581378180783e-07,6.150532159712464e-07
L,0.022394028259130897,Streptococcus,0.9983303389552926,0.998076337527929,0.998639378249245
L,0.022394028259130897,Actinomyces,0.0004937514856748302,0.00047890724489077865,0.0005039063604144425
L,0.022394028259130897,Veillonella,0.0004682302668334951,0.0004612218327996996,0.000473354518808344
